,league,country,url
21,ATP Sao Paulo,brazil,http://www.oddsportal.com//tennis/brazil/atp-sao-paulo/results/
22,WTA Florianopolis,brazil,http://www.oddsportal.com//tennis/brazil/wta-florianopolis/results/
23,WTA Rio de Janeiro,brazil,http://www.oddsportal.com//tennis/brazil/wta-rio-de-janeiro/results/
24,ATP Sofia,bulgaria,http://www.oddsportal.com//tennis/bulgaria/atp-sofia/results/
25,WTA Sofia,bulgaria,http://www.oddsportal.com//tennis/bulgaria/wta-sofia/results/
26,ATP Montreal,canada,http://www.oddsportal.com//tennis/canada/atp-montreal/results/
27,ATP Toronto,canada,http://www.oddsportal.com//tennis/canada/atp-toronto/results/
28,WTA Montreal,canada,http://www.oddsportal.com//tennis/canada/wta-montreal/results/
29,WTA Quebec City,canada,http://www.oddsportal.com//tennis/canada/wta-quebec-city/results/
30,WTA Toronto,canada,http://www.oddsportal.com//tennis/canada/wta-toronto/results/
31,ATP Santiago,chile,http://www.oddsportal.com//tennis/chile/atp-santiago/results/
32,ATP Vina del Mar,chile,http://www.oddsportal.com//tennis/chile/atp-vina-del-mar/results/
33,ATP Beijing,china,http://www.oddsportal.com//tennis/china/atp-beijing/results/
34,ATP Chengdu,china,http://www.oddsportal.com//tennis/china/atp-chengdu/results/
35,ATP Shanghai,china,http://www.oddsportal.com//tennis/china/atp-shanghai/results/
36,ATP Shenzhen,china,http://www.oddsportal.com//tennis/china/atp-shenzhen/results/
37,WTA Beijing,china,http://www.oddsportal.com//tennis/china/wta-beijing/results/
38,WTA Guangzhou,china,http://www.oddsportal.com//tennis/china/wta-guangzhou/results/
39,WTA Nanchang,china,http://www.oddsportal.com//tennis/china/wta-nanchang/results/
40,WTA Shenzhen,china,http://www.oddsportal.com//tennis/china/wta-shenzhen/results/
41,WTA Tianjin,china,http://www.oddsportal.com//tennis/china/wta-tianjin/results/
42,WTA Wuhan,china,http://www.oddsportal.com//tennis/china/wta-wuhan/results/
43,WTA Zhuhai,china,http://www.oddsportal.com//tennis/china/wta-zhuhai/results/
44,ATP Bogota,colombia,http://www.oddsportal.com//tennis/colombia/atp-bogota/results/
45,WTA Bogota,colombia,http://www.oddsportal.com//tennis/colombia/wta-bogota/results/
46,ATP Umag,croatia,http://www.oddsportal.com//tennis/croatia/atp-umag/results/
47,ATP Zagreb,croatia,http://www.oddsportal.com//tennis/croatia/atp-zagreb/results/
48,WTA Prague,czech-republic,http://www.oddsportal.com//tennis/czech-republic/wta-prague/results/
49,WTA Copenhagen,denmark,http://www.oddsportal.com//tennis/denmark/wta-copenhagen/results/
50,ATP Quito,ecuador,http://www.oddsportal.com//tennis/ecuador/atp-quito/results/
51,ATP French Open,france,http://www.oddsportal.com//tennis/france/atp-french-open/results/
52,ATP Lyon,france,http://www.oddsportal.com//tennis/france/atp-lyon/results/
53,ATP Marseille,france,http://www.oddsportal.com//tennis/france/atp-marseille/results/
54,ATP Metz,france,http://www.oddsportal.com//tennis/france/atp-metz/results/
55,ATP Montpellier,france,http://www.oddsportal.com//tennis/france/atp-montpellier/results/
56,ATP Nice,france,http://www.oddsportal.com//tennis/france/atp-nice/results/
57,ATP Paris,france,http://www.oddsportal.com//tennis/france/atp-paris/results/
58,WTA French Open,france,http://www.oddsportal.com//tennis/france/wta-french-open/results/
59,WTA Paris,france,http://www.oddsportal.com//tennis/france/wta-paris/results/
60,WTA Strasbourg,france,http://www.oddsportal.com//tennis/france/wta-strasbourg/results/
61,ATP Dusseldorf,germany,http://www.oddsportal.com//tennis/germany/atp-dusseldorf/results/
62,ATP Halle,germany,http://www.oddsportal.com//tennis/germany/atp-halle/results/
63,ATP Hamburg,germany,http://www.oddsportal.com//tennis/germany/atp-hamburg/results/
64,ATP Munich,germany,http://www.oddsportal.com//tennis/germany/atp-munich/results/
65,ATP Stuttgart,germany,http://www.oddsportal.com//tennis/germany/atp-stuttgart/results/
66,WTA Nürnberg,germany,http://www.oddsportal.com//tennis/germany/wta-nurnberg/results/
67,WTA Stuttgart,germany,http://www.oddsportal.com//tennis/germany/wta-stuttgart/results/
68,ATP Hong Kong,hong-kong,http://www.oddsportal.com//tennis/hong-kong/atp-hong-kong/results/
69,WTA Hong Kong,hong-kong,http://www.oddsportal.com//tennis/hong-kong/wta-hong-kong/results/
70,ATP Budapest,hungary,http://www.oddsportal.com//tennis/hungary/atp-budapest/results/
71,WTA Budapest,hungary,http://www.oddsportal.com//tennis/hungary/wta-budapest/results/
72,ATP Chennai,india,http://www.oddsportal.com//tennis/india/atp-chennai/results/
73,ATP Pune,india,http://www.oddsportal.com//tennis/india/atp-pune/results/
74,WTA Bali,indonesia,http://www.oddsportal.com//tennis/indonesia/wta-bali/results/
75,ATP Rome,italy,http://www.oddsportal.com//tennis/italy/atp-rome/results/
76,WTA Palermo,italy,http://www.oddsportal.com//tennis/italy/wta-palermo/results/
77,WTA Rome,italy,http://www.oddsportal.com//tennis/italy/wta-rome/results/
78,ATP Tokyo,japan,http://www.oddsportal.com//tennis/japan/atp-tokyo/results/
79,WTA Osaka,japan,http://www.oddsportal.com//tennis/japan/wta-osaka/results/
80,WTA Tokyo,japan,http://www.oddsportal.com//tennis/japan/wta-tokyo/results/
81,WTA Tokyo 2,japan,http://www.oddsportal.com//tennis/japan/wta-tokyo-2/results/
82,WTA Luxembourg,luxembourg,http://www.oddsportal.com//tennis/luxembourg/wta-luxembourg/results/
83,ATP Kuala Lumpur,malaysia,http://www.oddsportal.com//tennis/malaysia/atp-kuala-lumpur/results/
84,WTA Kuala Lumpur,malaysia,http://www.oddsportal.com//tennis/malaysia/wta-kuala-lumpur/results/
85,ATP Acapulco,mexico,http://www.oddsportal.com//tennis/mexico/atp-acapulco/results/
86,ATP Los Cabos,mexico,http://www.oddsportal.com//tennis/mexico/atp-los-cabos/results/
87,WTA Acapulco,mexico,http://www.oddsportal.com//tennis/mexico/wta-acapulco/results/
88,WTA Monterrey,mexico,http://www.oddsportal.com//tennis/mexico/wta-monterrey/results/
89,ATP Monte Carlo,monaco,http://www.oddsportal.com//tennis/monaco/atp-monte-carlo/results/
90,ATP Casablanca,morocco,http://www.oddsportal.com//tennis/morocco/atp-casablanca/results/
91,ATP Marrakech,morocco,http://www.oddsportal.com//tennis/morocco/atp-marrakech/results/
92,WTA Fes,morocco,http://www.oddsportal.com//tennis/morocco/wta-fes/results/
93,WTA Marrakech,morocco,http://www.oddsportal.com//tennis/morocco/wta-marrakech/results/
94,WTA Rabat,morocco,http://www.oddsportal.com//tennis/morocco/wta-rabat/results/
95,ATP Hertogenbosch,netherlands,http://www.oddsportal.com//tennis/netherlands/atp-hertogenbosch/results/
96,ATP Rotterdam,netherlands,http://www.oddsportal.com//tennis/netherlands/atp-rotterdam/results/
97,WTA Hertogenbosch,netherlands,http://www.oddsportal.com//tennis/netherlands/wta-hertogenbosch/results/
98,ATP Auckland,new-zealand,http://www.oddsportal.com//tennis/new-zealand/atp-auckland/results/
99,WTA Auckland,new-zealand,http://www.oddsportal.com//tennis/new-zealand/wta-auckland/results/
100,WTA Katowice,poland,http://www.oddsportal.com//tennis/poland/wta-katowice/results/
101,WTA Warsaw,poland,http://www.oddsportal.com//tennis/poland/wta-warsaw/results/
102,ATP Estoril,portugal,http://www.oddsportal.com//tennis/portugal/atp-estoril/results/
103,WTA Oeiras,portugal,http://www.oddsportal.com//tennis/portugal/wta-oeiras/results/
104,ATP Doha,qatar,http://www.oddsportal.com//tennis/qatar/atp-doha/results/
105,WTA Doha,qatar,http://www.oddsportal.com//tennis/qatar/wta-doha/results/
106,ATP Bucharest,romania,http://www.oddsportal.com//tennis/romania/atp-bucharest/results/
107,WTA Bucharest,romania,http://www.oddsportal.com//tennis/romania/wta-bucharest/results/
108,ATP Moscow,russia,http://www.oddsportal.com//tennis/russia/atp-moscow/results/
109,ATP St. Petersburg,russia,http://www.oddsportal.com//tennis/russia/atp-st-petersburg/results/
110,WTA Moscow,russia,http://www.oddsportal.com//tennis/russia/wta-moscow/results/
111,WTA St. Petersburg,russia,http://www.oddsportal.com//tennis/russia/wta-st-petersburg/results/
